example_id                                                              | status  | run_time              |
./spec/api/sample_api_spec.rb[1:1:8:1:1]                                | passed  | 1.06 seconds          |
./spec/api/sample_api_spec.rb[1:1:9:1:1]                                | passed  | 0.33079 seconds       |
./spec/api/sample_api_spec.rb[1:1:10:1:1]                               | passed  | 0.45459 seconds       |
./spec/api/sample_api_spec.rb[1:1:10:2:1]                               | passed  | 0.49 seconds          |
./spec/api/sync_collection_api_spec.rb[1:1:1:1:1]                       | passed  | 1.75 seconds          |
./spec/api/sync_collection_api_spec.rb[1:1:1:2:1]                       | passed  | 1.94 seconds          |
./spec/api/sync_collection_api_spec.rb[1:1:2:1:1:1]                     | passed  | 1.99 seconds          |
./spec/api/sync_collection_api_spec.rb[1:1:2:1:1:2]                     | passed  | 1.85 seconds          |
./spec/api/sync_collection_api_spec.rb[1:1:2:1:1:3]                     | passed  | 1.97 seconds          |
./spec/api/sync_collection_api_spec.rb[1:1:2:2:1:1]                     | passed  | 2 seconds             |
./spec/api/sync_collection_api_spec.rb[1:1:3:1]                         | passed  | 1.97 seconds          |
./spec/api/sync_collection_api_spec.rb[1:1:3:2]                         | passed  | 1.98 seconds          |
./spec/api/sync_collection_api_spec.rb[1:1:4:1]                         | passed  | 1.97 seconds          |
./spec/api/sync_collection_api_spec.rb[1:1:5:1]                         | passed  | 1.81 seconds          |
./spec/api/sync_collection_api_spec.rb[1:2:1:1]                         | passed  | 1.8 seconds           |
./spec/api/sync_collection_api_spec.rb[1:2:2:1]                         | passed  | 1.94 seconds          |
./spec/api/token_authentication_spec.rb[1:1:1]                          | passed  | 0.20315 seconds       |
./spec/api/token_authentication_spec.rb[1:1:2]                          | passed  | 0.19921 seconds       |
./spec/api/token_authentication_spec.rb[1:2:1]                          | passed  | 0.19255 seconds       |
./spec/api/token_authentication_spec.rb[1:2:2:1]                        | passed  | 0.18688 seconds       |
./spec/api/token_authentication_spec.rb[1:2:3:1]                        | passed  | 0.19884 seconds       |
./spec/api/ui_api_spec.rb[1:1:1:1]                                      | passed  | 0.29501 seconds       |
./spec/api/ui_api_spec.rb[1:1:2:1]                                      | passed  | 0.19098 seconds       |
./spec/api/user_api_spec.rb[1:1:1:1]                                    | passed  | 1.27 seconds          |
./spec/api/user_api_spec.rb[1:1:2:1]                                    | passed  | 1.2 seconds           |
./spec/api/user_api_spec.rb[1:1:3:1]                                    | passed  | 1.54 seconds          |
./spec/api/user_api_spec.rb[1:1:4:1]                                    | passed  | 1.27 seconds          |
./spec/api/user_api_spec.rb[1:1:5:1]                                    | passed  | 1.78 seconds          |
./spec/api/user_api_spec.rb[1:1:6:1]                                    | passed  | 1.19 seconds          |
./spec/api/wellplate_api_spec.rb[1:1:1:1:1]                             | passed  | 0.46451 seconds       |
./spec/api/wellplate_api_spec.rb[1:1:1:2:1]                             | passed  | 0.30386 seconds       |
./spec/api/wellplate_api_spec.rb[1:1:2:1:1]                             | passed  | 1.22 seconds          |
./spec/api/wellplate_api_spec.rb[1:1:3:1:1]                             | passed  | 0.63894 seconds       |
./spec/api/wellplate_api_spec.rb[1:1:4:1]                               | passed  | 0.42545 seconds       |
./spec/api/wellplate_api_spec.rb[1:1:4:2]                               | passed  | 2.91 seconds          |
./spec/api/wellplate_api_spec.rb[1:1:4:3]                               | passed  | 0.39304 seconds       |
./spec/clients/sftp_client_spec.rb[1:1:1:1]                             | unknown |                       |
./spec/clients/sftp_client_spec.rb[1:2:1:1:1]                           | unknown |                       |
./spec/clients/sftp_client_spec.rb[1:2:1:2:1]                           | unknown |                       |
./spec/clients/sftp_client_spec.rb[1:2:1:3:1]                           | unknown |                       |
./spec/clients/sftp_client_spec.rb[1:2:1:4:1]                           | unknown |                       |
./spec/clients/sftp_client_spec.rb[1:2:1:4:2]                           | unknown |                       |
./spec/clients/sftp_client_spec.rb[1:2:1:4:3]                           | unknown |                       |
./spec/clients/sftp_client_spec.rb[1:2:1:5:1]                           | unknown |                       |
./spec/clients/sftp_client_spec.rb[1:2:1:5:2]                           | unknown |                       |
./spec/features/collection_management_spec.rb[1:1:1]                    | passed  | 3.92 seconds          |
./spec/features/collection_management_spec.rb[1:2:1]                    | passed  | 4.51 seconds          |
./spec/features/copy_reaction_spec.rb[1:1:1]                            | passed  | 10.04 seconds         |
./spec/features/copy_reaction_spec.rb[1:1:2]                            | passed  | 9.88 seconds          |
./spec/features/copy_reaction_spec.rb[1:2:1]                            | passed  | 10.17 seconds         |
./spec/features/copy_reaction_spec.rb[1:2:2]                            | passed  | 4.65 seconds          |
./spec/features/copy_sample_spec.rb[1:1]                                | passed  | 3.71 seconds          |
./spec/features/copy_sample_spec.rb[1:2]                                | passed  | 6.69 seconds          |
./spec/features/copy_sample_spec.rb[1:3]                                | passed  | 8.48 seconds          |
./spec/features/copy_sample_spec.rb[1:4]                                | passed  | 7.27 seconds          |
./spec/features/copy_sample_spec.rb[1:5]                                | passed  | 4.04 seconds          |
./spec/features/create_sample_spec.rb[1:1]                              | passed  | 6.07 seconds          |
./spec/features/message_spec.rb[1:1:1]                                  | passed  | 9.85 seconds          |
./spec/features/message_spec.rb[1:1:2]                                  | passed  | 6.62 seconds          |
./spec/features/message_spec.rb[1:1:3]                                  | passed  | 6.84 seconds          |
./spec/features/pages_spec.rb[1:1:1]                                    | passed  | 6.2 seconds           |
./spec/features/reaction_creation_spec.rb[1:1]                          | passed  | 9.48 seconds          |
./spec/features/reaction_equiv_spec.rb[1:1:1]                           | passed  | 7.07 seconds          |
./spec/features/reaction_management_spec.rb[1:1:1]                      | passed  | 8.25 seconds          |
./spec/features/sample_management_spec.rb[1:1:1]                        | passed  | 7.68 seconds          |
./spec/features/share_collection_spec.rb[1:1]                           | passed  | 6.24 seconds          |
./spec/features/share_collection_spec.rb[1:2]                           | passed  | 6.92 seconds          |
